ID	n	popN	family	zea	symp_allo	RI_ACCESSION	GEOCTY	LOCALITY
HILO257	257	28	L1	mexicana	sympatric	RIMME0028	Mexico	Puruandiro
HILO258	258	26	D1	mexicana	sympatric	RIMME0026	Mexico	Opopeo
HILO259	259	35	L1	mexicana	sympatric	RIMME0035	Mexico	Xochimilco
HILO260	260	25	J1	mexicana	sympatric	RIMME0025	Mexico	Cocotilan
HILO261	261	360	C1	maize	sympatric	RIMMA0360	Mexico	Nabogame
HILO262	262	368	D2	maize	sympatric	RIMMA0368	Mexico	Opopeo
HILO263	263	27	B1	mexicana	sympatric	RIMME0027	Mexico	Amatlan
HILO264	264	35	F1	mexicana	sympatric	RIMME0035	Mexico	Xochimilco
HILO265	265	361	D1	maize	sympatric	RIMMA0361	Mexico	Penjamillo
HILO266	266	373	G1	maize	sympatric	RIMMA0373	Mexico	Tenango del Aire
HILO267	267	23	K1	mexicana	sympatric	RIMME0023	Mexico	Tlapala
HILO268	268	26	F1	mexicana	sympatric	RIMME0026	Mexico	Opopeo
HILO269	269	24	J1	mexicana	sympatric	RIMME0024	Mexico	Jicaltepec
HILO270	270	31	M1	mexicana	sympatric	RIMME0031	Mexico	Tenango del Aire
HILO271	271	24	G2	mexicana	sympatric	RIMME0024	Mexico	Jicaltepec
HILO272	272	26	K1	mexicana	sympatric	RIMME0026	Mexico	Opopeo
HILO273	273	31	G1	mexicana	sympatric	RIMME0031	Mexico	Tenango del Aire
HILO274	274	18	J1	mexicana	sympatric	RIMME0018	Mexico	Nabogame
HILO275	275	31	I1	mexicana	sympatric	RIMME0031	Mexico	Tenango del Aire
HILO276	276	26	C1	mexicana	sympatric	RIMME0026	Mexico	Opopeo
