sample_name	organism	isolate	ecotype	dev_stage	geo_loc_name	tissue	growth_protocol	lat_lon	isolation_source
HILO349	Zea mays subsp. mexicana	family_B_seed_i	RIMME0029	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
HILO350	Zea mays subsp. mexicana	family_Q_seed_i	RIMME0029	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
HILO351	Zea mays subsp. mays	family_C_seed_i	RIMMA0362	seedling	Mexico:Santa Clara	leaf	greenhouse	19.4184 N 101.642 W	Elevation: 2173 m
HILO352	Zea mays subsp. mexicana	family_K_seed_i	RIMME0031	seedling	Mexico:Tenango del Aire	leaf	greenhouse	19.1197 N 99.5896 W	Elevation: 2609 m
HILO353	Zea mays subsp. mays	family_I_seed_i	RIMMA0374	seedling	Mexico:Xochimilco	leaf	greenhouse	19.2861 N 99.0827 W	Elevation: 2237 m
HILO354	Zea mays subsp. mays	family_F_seed_i	RIMMA0373	seedling	Mexico:Tenango del Aire	leaf	greenhouse	19.1197 N 99.5896 W	Elevation: 2609 m
HILO355	Zea mays subsp. mexicana	family_G_seed_i	RIMME0022	seedling	Mexico:Amecameca	leaf	greenhouse	19.139 N 98.7733 W	Elevation: 2467 m
HILO356	Zea mays subsp. mays	family_E_seed_i	RIMMA0368	seedling	Mexico:Opopeo	leaf	greenhouse	19.4181 N 101.613 W	Elevation: 2213 m
HILO357	Zea mays subsp. mays	family_H_seed_i	RIMMA0368	seedling	Mexico:Opopeo	leaf	greenhouse	19.4181 N 101.613 W	Elevation: 2213 m
HILO358	Zea mays subsp. mexicana	family_N_seed_i	RIMME0018	seedling	Mexico:Nabogame	leaf	greenhouse	26.2465 N 106.915 W	Elevation: 2020 m
HILO359	Zea mays subsp. mexicana	family_P_seed_i	RIMME0030	seedling	Mexico:San Pedro	leaf	greenhouse	19.0886 N 98.4935 W	Elevation: 2459 m
HILO360	Zea mays subsp. mexicana	family_N_seed_i	RIMME0026	seedling	Mexico:Opopeo	leaf	greenhouse	19.4181 N 101.613 W	Elevation: 2213 m
HILO361	Zea mays subsp. mays	family_G_seed_i	RIMMA0369	seedling	Mexico:Amatlan	leaf	greenhouse	18.9719 N 99.0551 W	Elevation: 1658 m
HILO362	Zea mays subsp. mexicana	family_P_seed_i	RIMME0020	seedling	Mexico:Malinalco	leaf	greenhouse	18.9531 N 99.503 W	Elevation: 1887 m
HILO363	Zea mays subsp. mexicana	family_F_seed_i	RIMME0022	seedling	Mexico:Amecameca	leaf	greenhouse	19.139 N 98.7733 W	Elevation: 2467 m
HILO364	Zea mays subsp. mexicana	family_J_seed_i	RIMME0019	seedling	Mexico:Penjamillo	leaf	greenhouse	20.1176 N 101.93 W	Elevation: 1705 m
HILO365	Zea mays subsp. mexicana	family_A_seed_i	RIMME0024	seedling	Mexico:Jicaltepec	leaf	greenhouse	19.3764 N 99.6303 W	Elevation: 2587 m
HILO369	Zea mays subsp. mays	family_B_seed_i	RIMMA0370	seedling	Mexico:Puruandiro	leaf	greenhouse	20.1076 N 101.49 W	Elevation: 1915 m
HILO370	Zea mays subsp. mexicana	family_J_seed_i	RIMME0029	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
HILO371	Zea mays subsp. mexicana	family_K_seed_i	RIMME0034	seedling	Mexico:Santa Clara	leaf	greenhouse	19.4184 N 101.642 W	Elevation: 2173 m
HILO372	Zea mays subsp. mexicana	family_A_seed_i	RIMME0023	seedling	Mexico:Tlapala	leaf	greenhouse	19.2351 N 98.8368 W	Elevation: 2272 m
HILO375	Zea mays subsp. mexicana	family_O_seed_i	RIMME0034	seedling	Mexico:Santa Clara	leaf	greenhouse	19.4184 N 101.642 W	Elevation: 2173 m
HILO376	Zea mays subsp. mays	family_G_seed_i	RIMMA0366	seedling	Mexico:Jicaltepec	leaf	greenhouse	19.3764 N 99.6303 W	Elevation: 2587 m
HILO377	Zea mays subsp. mexicana	family_D_seed_i	RIMME0028	seedling	Mexico:Puruandiro	leaf	greenhouse	20.1076 N 101.49 W	Elevation: 1915 m
HILO378	Zea mays subsp. mays	family_J_seed_i	RIMMA0360	seedling	Mexico:Nabogame	leaf	greenhouse	26.2465 N 106.915 W	Elevation: 2020 m
HILO379	Zea mays subsp. mexicana	family_E_seed_i	RIMME0020	seedling	Mexico:Malinalco	leaf	greenhouse	18.9531 N 99.503 W	Elevation: 1887 m
HILO380	Zea mays subsp. mays	family_I_seed_i	RIMMA0365	seedling	Mexico:Tlapala	leaf	greenhouse	19.2351 N 98.8368 W	Elevation: 2272 m
